Zeitstempel: 2020-09-23T12:58:11.150  ///  Zu vergleichendes Bild: Auto03
Distanz zwischen Auto03 und Bike04_bw => 19716.960156923233
Distanz zwischen Auto03 und Bike04_mir => 19874.69458758724
Distanz zwischen Auto03 und Bike04_rot => 8805.307977434912
Distanz zwischen Auto03 und Bike05 => 11476.62569883249
Distanz zwischen Auto03 und Bike05_bw => 11959.888001733892
Distanz zwischen Auto03 und Bike05_mir => 11280.049608980966
Distanz zwischen Auto03 und Bike05_rot => 2539.333726636275
Distanz zwischen Auto03 und Bike06 => 1109.4101223925568
Distanz zwischen Auto03 und Bike06_bw => 900.1793115865138
Distanz zwischen Auto03 und Bike06_mir => 1110.4083896255797
Distanz zwischen Auto03 und Bike06_rot => 3569.8422550209143
Distanz zwischen Auto03 und Bike07 => 4141.054926850621
Distanz zwischen Auto03 und Bike07_bw => 3950.2310065316124
Distanz zwischen Auto03 und Bike07_mir => 4195.1391635851
Distanz zwischen Auto03 und Bike07_rot => 1895.9631305508924
Distanz zwischen Auto03 und Bike08 => 30757.320537053478
Distanz zwischen Auto03 und Bike08_bw => 30463.976397627197
Distanz zwischen Auto03 und Bike08_mir => 18311.339697371972
Distanz zwischen Auto03 und Bike08_rot => 15986.553449549685
Distanz zwischen Auto03 und Bike09 => 4469.712813031975
Distanz zwischen Auto03 und Bike09_bw => 4314.534326590196
Distanz zwischen Auto03 und Bike09_mir => 4436.840991957203
Distanz zwischen Auto03 und Bike09_rot => 3071.823185253306
Distanz zwischen Auto03 und Bike10 => 20443.39489770225
Distanz zwischen Auto03 und Bike10_bw => 20718.118404992765
Distanz zwischen Auto03 und Bike10_mir => 20470.645226470948
Distanz zwischen Auto03 und Bike10_rot => 7560.252520799887
Distanz zwischen Auto03 und Landschaft01 => 24739.866517234805
Distanz zwischen Auto03 und Landschaft01_bw => 24944.1774031749
Distanz zwischen Auto03 und Landschaft01_mir => 24483.60085417388
Distanz zwischen Auto03 und Landschaft01_rot => 26047.04961590135
Distanz zwischen Auto03 und Landschaft02 => 26318.504649428836
Distanz zwischen Auto03 und Landschaft02_bw => 26447.74904703294
Distanz zwischen Auto03 und Landschaft02_mir => 25863.775382929198
Distanz zwischen Auto03 und Landschaft02_rot => 26977.09242713014
Distanz zwischen Auto03 und Landschaft03 => 21069.18416111387
Distanz zwischen Auto03 und Landschaft03_bw => 21543.69677504903
Distanz zwischen Auto03 und Landschaft03_mir => 21016.91374220415
Distanz zwischen Auto03 und Landschaft03_rot => 23493.86438933788
Distanz zwischen Auto03 und Landschaft04 => 24579.03263725266
Distanz zwischen Auto03 und Landschaft04_bw => 23832.851581824045
Distanz zwischen Auto03 und Landschaft04_mir => 24361.149623183108
Distanz zwischen Auto03 und Landschaft04_rot => 25956.451294971797
Distanz zwischen Auto03 und Landschaft05 => 23983.858447000395
Distanz zwischen Auto03 und Landschaft05_bw => 23724.00537416294
Distanz zwischen Auto03 und Landschaft05_mir => 24026.37745422583
Distanz zwischen Auto03 und Landschaft05_rot => 25579.75584761445
Distanz zwischen Auto03 und Landschaft07 => 29307.02765148817
Distanz zwischen Auto03 und Landschaft07_bw => 29721.203482477413
Distanz zwischen Auto03 und Landschaft07_mir => 29044.574679113794
Distanz zwischen Auto03 und Landschaft07_rot => 29308.2496450884
Distanz zwischen Auto03 und Landschaft09 => 26494.356516430955
Distanz zwischen Auto03 und Landschaft09_bw => 27025.606260633667
Distanz zwischen Auto03 und Landschaft09_mir => 26211.00117550434
Distanz zwischen Auto03 und Landschaft09_rot => 28926.262659084172
Distanz zwischen Auto03 und Landschaft10 => 27544.414150124678
Distanz zwischen Auto03 und Landschaft10_bw => 27562.698250805166
Distanz zwischen Auto03 und Landschaft10_mir => 27406.476078881184
Distanz zwischen Auto03 und Landschaft10_rot => 28406.750679600682
Distanz zwischen Auto03 und Mensch01 => 5021.879799508832
Distanz zwischen Auto03 und Mensch01_bw => 4977.741234464453
Distanz zwischen Auto03 und Mensch01_mir => 5015.480305387971
Distanz zwischen Auto03 und Mensch01_rot => 3705.734891215942
Distanz zwischen Auto03 und Mensch02 => 6589.6106405865585
Distanz zwischen Auto03 und Mensch02_bw => 6353.475207505374
Distanz zwischen Auto03 und Mensch02_mir => 6532.661679429167
Distanz zwischen Auto03 und Mensch02_rot => 10219.998287083261
Distanz zwischen Auto03 und Mensch03 => 21423.311226594113
Distanz zwischen Auto03 und Mensch03_bw => 21560.187803167075
Distanz zwischen Auto03 und Mensch03_mir => 21767.398295442068
Distanz zwischen Auto03 und Mensch03_rot => 22134.418250562587
Distanz zwischen Auto03 und Mensch04 => 1881.1522333711805
Distanz zwischen Auto03 und Mensch05 => 1251.3747160513703
Distanz zwischen Auto03 und Mensch05_bw => 1387.1550629173298
Distanz zwischen Auto03 und Mensch05_mir => 1431.677150533613
Distanz zwischen Auto03 und Mensch05_rot => 4756.216782749369
Distanz zwischen Auto03 und Mensch06 => 9728.755013106409
Distanz zwischen Auto03 und Mensch06_bw => 9888.028473226794
Distanz zwischen Auto03 und Mensch06_mir => 9700.230707967632
Distanz zwischen Auto03 und Mensch06_rot => 13081.780533887495
Distanz zwischen Auto03 und Mensch07 => 3045.4862856183345
Distanz zwischen Auto03 und Mensch07_bw => 3254.549008573982
Distanz zwischen Auto03 und Mensch07_mir => 3121.039389931071
Distanz zwischen Auto03 und Mensch07_rot => 6718.994985360493
Distanz zwischen Auto03 und Mensch08 => 12836.620009023578
Distanz zwischen Auto03 und Mensch08_bw => 12806.43408310599
Distanz zwischen Auto03 und Mensch08_mir => 13136.35897345784
Distanz zwischen Auto03 und Mensch08_rot => 16561.709936059462
Distanz zwischen Auto03 und Mensch09 => 6650.973895638621
Distanz zwischen Auto03 und Mensch09_bw => 6899.471078545461
Distanz zwischen Auto03 und Mensch09_mir => 6599.68813070767
Distanz zwischen Auto03 und Mensch09_rot => 1627.9987411648015
Distanz zwischen Auto03 und Mensch10 => 5884.142509697767
Distanz zwischen Auto03 und Mensch10_bw => 5835.054168301531
Distanz zwischen Auto03 und Mensch10_mir => 6343.700009649962
Distanz zwischen Auto03 und Mensch10_rot => 11382.72307488004
Distanz zwischen Auto03 und Pferd01 => 1722.5038491581904
Distanz zwischen Auto03 und Pferd01_bw => 1090.9712528998366
Distanz zwischen Auto03 und Pferd01_mir => 1664.2944094759346
Distanz zwischen Auto03 und Pferd01_rot => 9337.545550333905
Distanz zwischen Auto03 und Pferd02 => 11030.134334163518
Distanz zwischen Auto03 und Pferd02_bw => 11265.434775052392
Distanz zwischen Auto03 und Pferd02_mir => 10660.72235369259
Distanz zwischen Auto03 und Pferd02_rot => 5000.285022072815
Distanz zwischen Auto03 und Pferd03 => 10197.606411287657
Distanz zwischen Auto03 und Pferd03_bw => 9844.503979458714
Distanz zwischen Auto03 und Pferd03_mir => 10219.92746213986
Distanz zwischen Auto03 und Pferd03_rot => 13580.76157104567
Distanz zwischen Auto03 und Pferd04 => 8982.151566198501
Distanz zwischen Auto03 und Pferd04_bw => 8269.462260438946
Distanz zwischen Auto03 und Pferd04_mir => 9005.394342160236
Distanz zwischen Auto03 und Pferd04_rot => 11157.061899383803
Distanz zwischen Auto03 und Pferd05 => 7400.150878854057
Distanz zwischen Auto03 und Pferd05_bw => 6956.217431664576
Distanz zwischen Auto03 und Pferd05_mir => 7331.380797514818
Distanz zwischen Auto03 und Pferd05_rot => 11982.096589443203
Distanz zwischen Auto03 und Pferd06 => 17408.927427621133
Distanz zwischen Auto03 und Pferd06_bw => 16975.318073848808
Distanz zwischen Auto03 und Pferd06_mir => 16683.046610116366
Distanz zwischen Auto03 und Pferd06_rot => 6183.15542278663
Distanz zwischen Auto03 und Pferd07 => 15710.16916882792
Distanz zwischen Auto03 und Pferd07_bw => 14897.071730692513
Distanz zwischen Auto03 und Pferd07_mir => 15532.639603802396
Distanz zwischen Auto03 und Pferd07_rot => 1730.8665141402932
Distanz zwischen Auto03 und Pferd08 => 1871.6618287190195
Distanz zwischen Auto03 und Pferd08_bw => 1401.5107438016296
Distanz zwischen Auto03 und Pferd08_mir => 1899.981095882592
Distanz zwischen Auto03 und Pferd08_rot => 8779.668999267647
Distanz zwischen Auto03 und Pferd09 => 5946.070398150122
Distanz zwischen Auto03 und Pferd09_bw => 5724.9583645582015
Distanz zwischen Auto03 und Pferd09_mir => 5974.113686522492
Distanz zwischen Auto03 und Pferd09_rot => 8050.8339576161625
Distanz zwischen Auto03 und Pferd10 => 3802.4563968540388
Distanz zwischen Auto03 und Pferd10_bw => 3716.7067928884567
Distanz zwischen Auto03 und Pferd10_mir => 3822.952075562247
Distanz zwischen Auto03 und Pferd10_rot => 6566.036859960239
Distanz zwischen Auto03 und Rad01 => 71389.57369130656
Distanz zwischen Auto03 und Rad01_bw => 71325.82897671264
Distanz zwischen Auto03 und Rad01_mir => 71391.20467009318
Distanz zwischen Auto03 und Rad01_rot => 61296.92283579719
Distanz zwischen Auto03 und Rad03 => 52903.98285996585
Distanz zwischen Auto03 und Rad03_bw => 52147.77119219159
Distanz zwischen Auto03 und Rad03_mir => 52908.82960738316
Distanz zwischen Auto03 und Rad03_rot => 44299.53747687957
Distanz zwischen Auto03 und Rad04 => 50043.991754161325
Distanz zwischen Auto03 und Rad04_bw => 49952.60203659909
Distanz zwischen Auto03 und Rad04_mir => 50043.220829500424
Distanz zwischen Auto03 und Rad04_rot => 42124.37941101379
Distanz zwischen Auto03 und Rad05 => 60763.587270390395
Distanz zwischen Auto03 und Rad06 => 80560.0461158497
Distanz zwischen Auto03 und Rad07 => 56573.94434891901
Distanz zwischen Auto03 und Rad07_bw => 56286.901450230616
Distanz zwischen Auto03 und Rad07_mir => 56570.18421934924
Distanz zwischen Auto03 und Rad07_rot => 49288.42100929762
Distanz zwischen Auto03 und Rad08 => 63137.617440587404
Distanz zwischen Auto03 und Rad08_bw => 63801.03123802317
Distanz zwischen Auto03 und Rad08_mir => 63138.71002071481
Distanz zwischen Auto03 und Rad08_rot => 55675.75376126188
Distanz zwischen Auto03 und Rad09 => 61010.951898045896
Distanz zwischen Auto03 und Rad09_bw => 60035.055138567
Distanz zwischen Auto03 und Rad09_mir => 61009.129574508595
Distanz zwischen Auto03 und Rad09_rot => 53086.263434211156
Distanz zwischen Auto03 und Rad10 => 16471.635063909638
Distanz zwischen Auto03 und Rad10_bw => 15478.722725559157
Distanz zwischen Auto03 und Rad10_mir => 16360.97800812276
Distanz zwischen Auto03 und Rad10_rot => 11814.310399823135
Distanz zwischen Auto03 und Schaf01 => 24025.24743972165
Distanz zwischen Auto03 und Schaf01_bw => 23595.914075360342
Distanz zwischen Auto03 und Schaf01_mir => 23956.952860044505
Distanz zwischen Auto03 und Schaf01_rot => 15922.786341378529
Distanz zwischen Auto03 und Schaf02 => 3036.799430584749
Distanz zwischen Auto03 und Schaf03 => 5526.892421763849
Distanz zwischen Auto03 und Schaf03_bw => 6247.125960518953
Distanz zwischen Auto03 und Schaf03_mir => 5550.846059188379
Distanz zwischen Auto03 und Schaf03_rot => 6982.064568861383
Distanz zwischen Auto03 und Schaf04 => 8915.111250177128
Distanz zwischen Auto03 und Schaf04_bw => 9695.499923182377
Distanz zwischen Auto03 und Schaf04_mir => 8767.644098339102
Distanz zwischen Auto03 und Schaf04_rot => 9880.676597091175
Distanz zwischen Auto03 und Schaf06 => 2290.253250645939
Distanz zwischen Auto03 und Schaf06_bw => 1373.6155081516793
Distanz zwischen Auto03 und Schaf06_mir => 2302.3991318890057
Distanz zwischen Auto03 und Schaf06_rot => 1201.0107129478115
Distanz zwischen Auto03 und Schaf07 => 3984.439897091387
Distanz zwischen Auto03 und Schaf07_bw => 3250.1030515608836
Distanz zwischen Auto03 und Schaf07_mir => 4005.564347741177
Distanz zwischen Auto03 und Schaf07_rot => 2472.4385838524177
Distanz zwischen Auto03 und Schaf10 => 17004.67214933309
Distanz zwischen Auto03 und Schaf10_bw => 15936.896223605761
Distanz zwischen Auto03 und Schaf10_mir => 16921.337680232893
Distanz zwischen Auto03 und Schaf10_rot => 13120.811556715433
___________________________________________________________________________________


Execution Time: 477 s
Score (Image): 5

Score (Schwarz-wei�): 8
Score (Rotiert 90 Grad): 0
Score (Gespiegelt): 9
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 373
Berechnungszeit Cluster: 3937
Berechnungszeit Distanz: 144
Gesamt:  4454 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 378
Berechnungszeit Cluster: 3700
Berechnungszeit Distanz: 336
Gesamt:  4414 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 399
Berechnungszeit Cluster: 3685
Berechnungszeit Distanz: 60
Gesamt:  4144 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 303
Berechnungszeit Cluster: 3875
Berechnungszeit Distanz: 233
Gesamt:  4411 ms

Für Auto02.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 2946
Berechnungszeit Distanz: 265
Gesamt:  3501 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 308
Berechnungszeit Cluster: 2758
Berechnungszeit Distanz: 270
Gesamt:  3336 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 2524
Berechnungszeit Distanz: 265
Gesamt:  3081 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 275
Berechnungszeit Cluster: 2114
Berechnungszeit Distanz: 293
Gesamt:  2682 ms

Für Auto03.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 698
Berechnungszeit Distanz: 271
Gesamt:  1160 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 734
Berechnungszeit Distanz: 142
Gesamt:  1067 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 195
Berechnungszeit Cluster: 702
Berechnungszeit Distanz: 141
Gesamt:  1038 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 189
Berechnungszeit Cluster: 574
Berechnungszeit Distanz: 161
Gesamt:  924 ms

Für Auto04.png: 
Berechnungszeit KPs: 231
Berechnungszeit Cluster: 1558
Berechnungszeit Distanz: 161
Gesamt:  1950 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1231
Berechnungszeit Distanz: 173
Gesamt:  1637 ms

Für Auto04_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1352
Berechnungszeit Distanz: 156
Gesamt:  1741 ms

Für Auto04_rot.png: 
Berechnungszeit KPs: 224
Berechnungszeit Cluster: 954
Berechnungszeit Distanz: 173
Gesamt:  1351 ms

Für Auto05.png: 
Berechnungszeit KPs: 290
Berechnungszeit Cluster: 3031
Berechnungszeit Distanz: 142
Gesamt:  3463 ms

Für Auto05_bw.png: 
Berechnungszeit KPs: 297
Berechnungszeit Cluster: 3106
Berechnungszeit Distanz: 137
Gesamt:  3540 ms

Für Auto05_mir.png: 
Berechnungszeit KPs: 293
Berechnungszeit Cluster: 3009
Berechnungszeit Distanz: 157
Gesamt:  3459 ms

Für Auto05_rot.png: 
Berechnungszeit KPs: 281
Berechnungszeit Cluster: 3004
Berechnungszeit Distanz: 133
Gesamt:  3418 ms

Für Auto06.png: 
Berechnungszeit KPs: 315
Berechnungszeit Cluster: 3511
Berechnungszeit Distanz: 151
Gesamt:  3977 ms

Für Auto06_bw.png: 
Berechnungszeit KPs: 374
Berechnungszeit Cluster: 2959
Berechnungszeit Distanz: 164
Gesamt:  3497 ms

Für Auto06_mir.png: 
Berechnungszeit KPs: 420
Berechnungszeit Cluster: 3103
Berechnungszeit Distanz: 152
Gesamt:  3675 ms

Für Auto06_rot.png: 
Berechnungszeit KPs: 294
Berechnungszeit Cluster: 2499
Berechnungszeit Distanz: 152
Gesamt:  2945 ms

Für Auto07.png: 
Berechnungszeit KPs: 407
Berechnungszeit Cluster: 1799
Berechnungszeit Distanz: 175
Gesamt:  2381 ms

Für Auto08.png: 
Berechnungszeit KPs: 253
Berechnungszeit Cluster: 1622
Berechnungszeit Distanz: 162
Gesamt:  2037 ms

Für Auto08_bw.png: 
Berechnungszeit KPs: 339
Berechnungszeit Cluster: 1505
Berechnungszeit Distanz: 141
Gesamt:  1985 ms

Für Auto08_mir.png: 
Berechnungszeit KPs: 313
Berechnungszeit Cluster: 1527
Berechnungszeit Distanz: 81
Gesamt:  1921 ms

Für Auto08_rot.png: 
Berechnungszeit KPs: 243
Berechnungszeit Cluster: 1232
Berechnungszeit Distanz: 91
Gesamt:  1566 ms

Für Auto09.png: 
Berechnungszeit KPs: 227
Berechnungszeit Cluster: 1584
Berechnungszeit Distanz: 94
Gesamt:  1905 ms

Für Auto09_bw.png: 
Berechnungszeit KPs: 230
Berechnungszeit Cluster: 1447
Berechnungszeit Distanz: 79
Gesamt:  1756 ms

Für Auto09_mir.png: 
Berechnungszeit KPs: 233
Berechnungszeit Cluster: 1416
Berechnungszeit Distanz: 91
Gesamt:  1740 ms

Für Auto09_rot.png: 
Berechnungszeit KPs: 213
Berechnungszeit Cluster: 1254
Berechnungszeit Distanz: 90
Gesamt:  1557 ms

Für Auto10.png: 
Berechnungszeit KPs: 266
Berechnungszeit Cluster: 2528
Berechnungszeit Distanz: 81
Gesamt:  2875 ms

Für Auto10_bw.png: 
Berechnungszeit KPs: 261
Berechnungszeit Cluster: 2480
Berechnungszeit Distanz: 81
Gesamt:  2822 ms

Für Auto10_mir.png: 
Berechnungszeit KPs: 265
Berechnungszeit Cluster: 2266
Berechnungszeit Distanz: 84
Gesamt:  2615 ms

Für Auto10_rot.png: 
Berechnungszeit KPs: 251
Berechnungszeit Cluster: 1870
Berechnungszeit Distanz: 99
Gesamt:  2220 ms

Für Bike01.png: 
Berechnungszeit KPs: 119
Berechnungszeit Cluster: 413
Berechnungszeit Distanz: 83
Gesamt:  615 ms

Für Bike01_bw.png: 
Berechnungszeit KPs: 115
Berechnungszeit Cluster: 391
Berechnungszeit Distanz: 80
Gesamt:  586 ms

Für Bike01_mir.png: 
Berechnungszeit KPs: 111
Berechnungszeit Cluster: 364
Berechnungszeit Distanz: 91
Gesamt:  566 ms

Für Bike01_rot.png: 
Berechnungszeit KPs: 108
Berechnungszeit Cluster: 236
Berechnungszeit Distanz: 81
Gesamt:  425 ms

Für Bike02.png: 
Berechnungszeit KPs: 193
Berechnungszeit Cluster: 2484
Berechnungszeit Distanz: 85
Gesamt:  2762 ms

Für Bike02_bw.png: 
Berechnungszeit KPs: 206
Berechnungszeit Cluster: 3104
Berechnungszeit Distanz: 70
Gesamt:  3380 ms

Für Bike02_mir.png: 
Berechnungszeit KPs: 262
Berechnungszeit Cluster: 2339
Berechnungszeit Distanz: 81
Gesamt:  2682 ms

Für Bike02_rot.png: 
Berechnungszeit KPs: 192
Berechnungszeit Cluster: 1438
Berechnungszeit Distanz: 81
Gesamt:  1711 ms

Für Bike03.png: 
Berechnungszeit KPs: 139
Berechnungszeit Cluster: 637
Berechnungszeit Distanz: 81
Gesamt:  857 ms

Für Bike03_bw.png: 
Berechnungszeit KPs: 126
Berechnungszeit Cluster: 666
Berechnungszeit Distanz: 70
Gesamt:  862 ms

Für Bike03_mir.png: 
Berechnungszeit KPs: 160
Berechnungszeit Cluster: 702
Berechnungszeit Distanz: 79
Gesamt:  941 ms

Für Bike03_rot.png: 
Berechnungszeit KPs: 175
Berechnungszeit Cluster: 441
Berechnungszeit Distanz: 78
Gesamt:  694 ms

Für Bike04.png: 
Berechnungszeit KPs: 240
Berechnungszeit Cluster: 1833
Berechnungszeit Distanz: 91
Gesamt:  2164 ms

Für Bike04_bw.png: 
Berechnungszeit KPs: 193
Berechnungszeit Cluster: 1708
Berechnungszeit Distanz: 89
Gesamt:  1990 ms

Für Bike04_mir.png: 
Berechnungszeit KPs: 190
Berechnungszeit Cluster: 1719
Berechnungszeit Distanz: 72
Gesamt:  1981 ms

Für Bike04_rot.png: 
Berechnungszeit KPs: 274
Berechnungszeit Cluster: 1141
Berechnungszeit Distanz: 89
Gesamt:  1504 ms

Für Bike05.png: 
Berechnungszeit KPs: 305
Berechnungszeit Cluster: 1322
Berechnungszeit Distanz: 81
Gesamt:  1708 ms

Für Bike05_bw.png: 
Berechnungszeit KPs: 335
Berechnungszeit Cluster: 1333
Berechnungszeit Distanz: 95
Gesamt:  1763 ms

Für Bike05_mir.png: 
Berechnungszeit KPs: 230
Berechnungszeit Cluster: 1480
Berechnungszeit Distanz: 80
Gesamt:  1790 ms

Für Bike05_rot.png: 
Berechnungszeit KPs: 216
Berechnungszeit Cluster: 811
Berechnungszeit Distanz: 71
Gesamt:  1098 ms

Für Bike06.png: 
Berechnungszeit KPs: 191
Berechnungszeit Cluster: 746
Berechnungszeit Distanz: 81
Gesamt:  1018 ms

Für Bike06_bw.png: 
Berechnungszeit KPs: 199
Berechnungszeit Cluster: 722
Berechnungszeit Distanz: 71
Gesamt:  992 ms

Für Bike06_mir.png: 
Berechnungszeit KPs: 200
Berechnungszeit Cluster: 788
Berechnungszeit Distanz: 81
Gesamt:  1069 ms

Für Bike06_rot.png: 
Berechnungszeit KPs: 201
Berechnungszeit Cluster: 579
Berechnungszeit Distanz: 88
Gesamt:  868 ms

Für Bike07.png: 
Berechnungszeit KPs: 268
Berechnungszeit Cluster: 887
Berechnungszeit Distanz: 76
Gesamt:  1231 ms

Für Bike07_bw.png: 
Berechnungszeit KPs: 214
Berechnungszeit Cluster: 913
Berechnungszeit Distanz: 80
Gesamt:  1207 ms

Für Bike07_mir.png: 
Berechnungszeit KPs: 265
Berechnungszeit Cluster: 875
Berechnungszeit Distanz: 81
Gesamt:  1221 ms

Für Bike07_rot.png: 
Berechnungszeit KPs: 200
Berechnungszeit Cluster: 659
Berechnungszeit Distanz: 71
Gesamt:  930 ms

Für Bike08.png: 
Berechnungszeit KPs: 331
Berechnungszeit Cluster: 2888
Berechnungszeit Distanz: 68
Gesamt:  3287 ms

Für Bike08_bw.png: 
Berechnungszeit KPs: 289
Berechnungszeit Cluster: 2621
Berechnungszeit Distanz: 61
Gesamt:  2971 ms

Für Bike08_mir.png: 
Berechnungszeit KPs: 292
Berechnungszeit Cluster: 1892
Berechnungszeit Distanz: 71
Gesamt:  2255 ms

Für Bike08_rot.png: 
Berechnungszeit KPs: 399
Berechnungszeit Cluster: 1597
Berechnungszeit Distanz: 72
Gesamt:  2068 ms

Für Bike09.png: 
Berechnungszeit KPs: 280
Berechnungszeit Cluster: 896
Berechnungszeit Distanz: 81
Gesamt:  1257 ms

Für Bike09_bw.png: 
Berechnungszeit KPs: 203
Berechnungszeit Cluster: 890
Berechnungszeit Distanz: 73
Gesamt:  1166 ms

Für Bike09_mir.png: 
Berechnungszeit KPs: 205
Berechnungszeit Cluster: 942
Berechnungszeit Distanz: 81
Gesamt:  1228 ms

Für Bike09_rot.png: 
Berechnungszeit KPs: 190
Berechnungszeit Cluster: 636
Berechnungszeit Distanz: 71
Gesamt:  897 ms

Für Bike10.png: 
Berechnungszeit KPs: 272
Berechnungszeit Cluster: 1767
Berechnungszeit Distanz: 81
Gesamt:  2120 ms

Für Bike10_bw.png: 
Berechnungszeit KPs: 257
Berechnungszeit Cluster: 1696
Berechnungszeit Distanz: 92
Gesamt:  2045 ms

Für Bike10_mir.png: 
Berechnungszeit KPs: 260
Berechnungszeit Cluster: 2340
Berechnungszeit Distanz: 77
Gesamt:  2677 ms

Für Bike10_rot.png: 
Berechnungszeit KPs: 236
Berechnungszeit Cluster: 1045
Berechnungszeit Distanz: 91
Gesamt:  1372 ms

Für Landschaft01.jpg: 
Berechnungszeit KPs: 62
Berechnungszeit Cluster: 67
Berechnungszeit Distanz: 71
Gesamt:  200 ms

Für Landschaft01_bw.jpg: 
Berechnungszeit KPs: 60
Berechnungszeit Cluster: 71
Berechnungszeit Distanz: 69
Gesamt:  200 ms

Für Landschaft01_mir.jpg: 
Berechnungszeit KPs: 70
Berechnungszeit Cluster: 82
Berechnungszeit Distanz: 62
Gesamt:  214 ms

Für Landschaft01_rot.jpg: 
Berechnungszeit KPs: 63
Berechnungszeit Cluster: 59
Berechnungszeit Distanz: 73
Gesamt:  195 ms

Für Landschaft02.jpg: 
Berechnungszeit KPs: 58
Berechnungszeit Cluster: 54
Berechnungszeit Distanz: 70
Gesamt:  182 ms

Für Landschaft02_bw.jpg: 
Berechnungszeit KPs: 78
Berechnungszeit Cluster: 51
Berechnungszeit Distanz: 67
Gesamt:  196 ms

Für Landschaft02_mir.jpg: 
